File_accession	File_format	File_type	File_format_type	Output_type	File_assembly	Experiment_accession	Assay	Donor(s)	Biosample_term_id	Biosample_term_name	Biosample_type	Biosample_organism	Biosample_treatments	Biosample_treatments_amount	Biosample_treatments_duration	Biosample_genetic_modifications_methods	Biosample_genetic_modifications_categories	Biosample_genetic_modifications_targets	Biosample_genetic_modifications_gene_targets	Biosample_genetic_modifications_site_coordinates	Biosample_genetic_modifications_zygosity	Experiment_target	Library_made_from	Library_depleted_in	Library_extraction_method	Library_lysis_method	Library_crosslinking_method	Library_strand_specific	Experiment_date_released	Project	RBNS_protein_concentration	Library_fragmentation_method	Library_size_range	Biological_replicate(s)	Technical_replicate(s)	Read_length	Mapped_read_length	Run_type	Paired_end	Paired_with	Index_of	Derived_from	Size	Lab	md5sum	dbxrefs	File_download_URL	Genome_annotation	Platform	Controlled_by	File_Status	s3_uri	Azure_URL	File_analysis_title	File_analysis_status	Audit_WARNING	Audit_NOT_COMPLIANT	Audit_ERROR
ENCFF752FJE	fastq	fastq		reads		ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_2	76		single-ended					1025155064	Bradley_Bernstein,_Broad	20d7ae9fb4e8a72ec265a74225ca1ac7	SRA:SRR10838614	https://www.encodeproject.org/files/ENCFF752FJE/@@download/ENCFF752FJE.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2019/01/28/81b34a96-4953-4d56-892f-66cf3ae4bab4/ENCFF752FJE.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/81b34a96-4953-4d56-892f-66cf3ae4bab4/ENCFF752FJE.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF425YBL	fastq	fastq		reads		ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_2	76		single-ended					1010731911	Bradley_Bernstein,_Broad	a19958e4a3b9c1e12d2abfb26d1d890c	SRA:SRR10838615	https://www.encodeproject.org/files/ENCFF425YBL/@@download/ENCFF425YBL.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2019/01/28/781b4211-e7c5-4c4e-8c74-e94501d47fde/ENCFF425YBL.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/781b4211-e7c5-4c4e-8c74-e94501d47fde/ENCFF425YBL.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF611FEK	bam	bam		unfiltered_alignments	GRCh38	ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1,_1_2		76					/files/ENCFF425YBL/,_/files/ENCFF233IBR/,_/files/ENCFF752FJE/,_/files/ENCFF643CGH/,_/files/ENCFF362JMQ/	5999540382	ENCODE_Processing_Pipeline	6110bd5e9a26a6c9ea4573572e8e527f		https://www.encodeproject.org/files/ENCFF611FEK/@@download/ENCFF611FEK.bam				released	s3://encode-public/2019/02/08/640780f1-bc00-409a-ba3a-378979b9f3c5/ENCFF611FEK.bam	https://datasetencode.blob.core.windows.net/dataset/2019/02/08/640780f1-bc00-409a-ba3a-378979b9f3c5/ENCFF611FEK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3_GRCh38	archived			
ENCFF808COP	bam	bam		alignments	GRCh38	ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1,_1_2		76					/files/ENCFF425YBL/,_/files/ENCFF233IBR/,_/files/ENCFF752FJE/,_/files/ENCFF643CGH/,_/files/ENCFF362JMQ/	4876731989	ENCODE_Processing_Pipeline	daf71bfba808d2272e5121dc6461ba41		https://www.encodeproject.org/files/ENCFF808COP/@@download/ENCFF808COP.bam				released	s3://encode-public/2019/02/08/3373d7ed-9457-445d-8e1a-3fc420400159/ENCFF808COP.bam	https://datasetencode.blob.core.windows.net/dataset/2019/02/08/3373d7ed-9457-445d-8e1a-3fc420400159/ENCFF808COP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3_GRCh38	archived			
ENCFF281JPW	bam	bam		unfiltered_alignments	hg19	ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1,_1_2		76					/files/ENCFF425YBL/,_/files/ENCFF233IBR/,_/files/ENCFF807MUK/,_/files/ENCFF752FJE/,_/files/ENCFF362JMQ/	5983336560	ENCODE_Processing_Pipeline	48f8b617d7a0c0110c2f0ccf19567fa1		https://www.encodeproject.org/files/ENCFF281JPW/@@download/ENCFF281JPW.bam				released	s3://encode-public/2019/02/08/e9367cb8-af35-4ddc-a829-2320e2ed013c/ENCFF281JPW.bam	https://datasetencode.blob.core.windows.net/dataset/2019/02/08/e9367cb8-af35-4ddc-a829-2320e2ed013c/ENCFF281JPW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3_hg19	archived			
ENCFF522TUC	bam	bam		alignments	hg19	ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1,_1_2		76					/files/ENCFF425YBL/,_/files/ENCFF233IBR/,_/files/ENCFF807MUK/,_/files/ENCFF752FJE/,_/files/ENCFF362JMQ/	4869387383	ENCODE_Processing_Pipeline	d59fb4fd876e62dda6be4e87a290042d		https://www.encodeproject.org/files/ENCFF522TUC/@@download/ENCFF522TUC.bam				released	s3://encode-public/2019/02/08/2337e3b3-7043-4d58-b928-228427afed13/ENCFF522TUC.bam	https://datasetencode.blob.core.windows.net/dataset/2019/02/08/2337e3b3-7043-4d58-b928-228427afed13/ENCFF522TUC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3_hg19	archived			
ENCFF362JMQ	fastq	fastq		reads		ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1	76		single-ended					1989903656	Bradley_Bernstein,_Broad	15c0a12a756fa442f037d1b5befe9cf4	SRA:SRR10838612	https://www.encodeproject.org/files/ENCFF362JMQ/@@download/ENCFF362JMQ.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2017/12/06/930f3007-4980-4b68-afad-320bc4c01162/ENCFF362JMQ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/06/930f3007-4980-4b68-afad-320bc4c01162/ENCFF362JMQ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF233IBR	fastq	fastq		reads		ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1	76		single-ended					2042644610	Bradley_Bernstein,_Broad	869185c2af640d76919a176745aa589b	SRA:SRR10838613	https://www.encodeproject.org/files/ENCFF233IBR/@@download/ENCFF233IBR.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2017/12/06/95445677-41a1-44cf-b4a0-e746bba47052/ENCFF233IBR.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/06/95445677-41a1-44cf-b4a0-e746bba47052/ENCFF233IBR.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF892LVE	bam	bam		unfiltered_alignments	GRCh38	ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1,_1_2		76					/files/ENCFF362JMQ/,_/files/ENCFF425YBL/,_/files/ENCFF110MCL/,_/files/ENCFF233IBR/,_/files/ENCFF752FJE/	6019758646	ENCODE_Processing_Pipeline	cc6ff737cb6f0cc1118a75b6679701f8		https://www.encodeproject.org/files/ENCFF892LVE/@@download/ENCFF892LVE.bam				released	s3://encode-public/2020/09/19/3b9a524a-b54a-4ada-9bb8-f563bccfc51a/ENCFF892LVE.bam	https://datasetencode.blob.core.windows.net/dataset/2020/09/19/3b9a524a-b54a-4ada-9bb8-f563bccfc51a/ENCFF892LVE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.5.1_GRCh38	released			
ENCFF829IOW	bam	bam		alignments	GRCh38	ENCSR962EJE	Control_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2019-02-08	ENCODE			200-600	1	1_1,_1_2		76					/files/ENCFF362JMQ/,_/files/ENCFF425YBL/,_/files/ENCFF110MCL/,_/files/ENCFF233IBR/,_/files/ENCFF752FJE/	4894672118	ENCODE_Processing_Pipeline	31bc97e61f0b3f2524625e562f86d4f5		https://www.encodeproject.org/files/ENCFF829IOW/@@download/ENCFF829IOW.bam				released	s3://encode-public/2020/09/19/51d65259-3616-4b1a-a615-f57e820fa64d/ENCFF829IOW.bam	https://datasetencode.blob.core.windows.net/dataset/2020/09/19/51d65259-3616-4b1a-a615-f57e820fa64d/ENCFF829IOW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.5.1_GRCh38	released			
